Date,Carnation,Normandy Park,Sammamish,Covington,Kent,Issaquah,Renton,Bothell,Kirkland,Federal Way,Shoreline,SeaTac,Beaux Arts Village,Medina,Algona,Black Diamond,Newcastle,Snoqualmie,Yarrow Point,Milton,Duvall,Enumclaw,North Bend,Burien  ,Tukwila,Lake Forest Park,Clyde Hill,Mercer Island,Bellevue,Woodinville,Redmond,Hunts Point,Maple Valley,Kenmore,Pacific,Auburn,Skykomish,Des Moines,Seattle
2017-07-17,0,0,4,4,56,11,55,4,29,35,15,28,0,0,2,0,1,0,0,1,1,3,1,16,30,3,1,3,64,4,22,0,5,5,3,32,0,4,263
2017-07-24,1,0,2,6,64,11,38,5,36,40,16,18,0,0,3,2,1,2,0,2,2,1,2,14,26,3,1,8,44,4,14,0,5,2,3,30,0,8,257
2017-07-31,0,1,5,3,47,21,51,10,25,47,15,24,0,0,1,2,2,0,0,2,1,2,5,9,27,2,0,9,46,5,18,0,4,4,1,33,0,7,212
2017-08-07,0,1,4,4,61,13,26,9,19,45,10,29,0,0,1,0,1,1,0,2,1,3,1,11,36,2,0,3,46,2,14,0,5,4,1,26,0,5,218
2017-08-14,0,2,8,5,44,6,42,6,26,43,16,44,0,0,0,1,1,0,0,0,0,2,1,11,27,2,0,3,38,1,10,1,1,4,1,39,0,6,209
2017-08-21,0,0,4,5,53,19,54,9,13,35,10,27,0,0,0,0,1,3,0,3,2,1,2,18,28,1,0,9,45,6,16,0,7,5,0,29,0,6,239
2017-08-28,0,0,8,10,58,13,50,8,25,40,22,26,0,0,0,1,1,1,0,1,0,2,0,13,31,1,0,9,51,7,14,0,2,6,2,38,0,4,236
2017-09-04,0,2,2,5,48,12,39,9,21,38,13,17,0,0,0,1,1,0,1,0,1,0,2,14,28,1,0,1,35,8,13,0,2,3,2,24,0,5,203
2017-09-11,0,1,3,5,68,12,53,10,27,47,17,32,0,0,4,1,1,2,0,1,0,1,2,18,26,2,0,8,52,9,21,1,5,8,2,27,0,7,284
2017-09-18,0,1,5,8,81,11,56,10,28,37,12,27,0,0,2,0,2,1,0,1,0,2,4,16,47,2,0,2,66,5,21,1,2,6,1,39,0,11,270
